"","Herbarium","Accession","Genus","Phenology","DOY","elev.true","Latitude","Longitude","SpringTemp.Modern","SpringTemp.Historic","SpringPrec.Modern","SpringPrec.Historic","Anomaly","PPT.Anomaly","Year.Collected","Month.Collected","spec.epithet"
"1","WTU","","Clintonia","FLOWER",176,1613,43.40099,-122.1732,8.8,6.1,126,281,2.7,-155,2021,6,"uniflora"
"2","ID","187515","Clintonia","FLOWER",160,647,48.6989,-116.4165,11.7666666666667,11.4666666666667,150,138,0.299999999999999,12,2020,6,"uniflora"
"3","ID","187519","Clintonia","FLOWER",161,602,48.99178,-116.5852,11.9,11.5,139,138,0.4,1,2020,6,"uniflora"
"4","ID","187516","Clintonia","FLOWER",171,756,48.82134,-116.9245,11.1333333333333,10.8,195,166,0.333333333333334,29,2020,6,"uniflora"
"5","ID","187518","Clintonia","FLOWER",174,768,48.76981,-116.8333,11.0666666666667,10.7333333333333,157,135,0.333333333333334,22,2020,6,"uniflora"
"6","ID","187517","Clintonia","FLOWER",181,1148,48.91505,-116.6846,8.36666666666667,7.96666666666667,254,237,0.400000000000001,17,2020,6,"uniflora"
"7","WTU","430207","Clintonia","FLOWER",176,1076,45.78005,-122.167,9.1,8.13333333333333,517,555,0.966666666666667,-38,2020,6,"uniflora"
"8","ID","180129","Clintonia","FLOWER",151,1085,48.5229,-116.6108,9.86666666666667,8.56666666666667,149,186,1.3,-37,2019,5,"uniflora"
"9","ID","180135","Clintonia","FLOWER",150,1058,48.66505,-116.4518,10.3333333333333,8.9,139,188,1.43333333333333,-49,2019,5,"uniflora"
"10","ID","180133","Clintonia","FLOWER",182,1396,48.56614,-116.5413,8.26666666666667,6.93333333333333,173,220,1.33333333333333,-47,2019,7,"uniflora"
"11","ID","180132","Clintonia","FLOWER",182,1057,48.92744,-116.6585,10.0333333333333,8.5,138,207,1.53333333333333,-69,2019,7,"uniflora"
"12","ID","180131","Clintonia","FLOWER",180,1546,48.73215,-116.4731,8,6.56666666666667,178,247,1.43333333333333,-69,2019,6,"uniflora"
"13","ID","180101","Clintonia","FLOWER",178,1351,48.77574,-116.5891,7.93333333333333,6.5,191,268,1.43333333333333,-77,2019,6,"uniflora"
"14","ID","181699","Clintonia","FLOWER",180,1246,48.54068,-116.221,9.23333333333333,7.9,222,282,1.33333333333333,-60,2019,6,"uniflora"
"15","ID","180248","Clintonia","FLOWER",191,1506,48.37782,-116.6932,7.86666666666667,6.7,218,238,1.16666666666667,-20,2019,7,"uniflora"
"16","ID","180102","Clintonia","FLOWER",190,1513,48.4159,-116.7461,7.96666666666667,6.8,210,238,1.16666666666667,-28,2019,7,"uniflora"
"17","ID","180136","Clintonia","FLOWER",189,1458,48.67459,-116.7801,7.73333333333333,6.36666666666667,225,300,1.36666666666667,-75,2019,7,"uniflora"
"18","ID","180104","Clintonia","FLOWER",188,1741,48.62941,-116.7249,6.6,5.26666666666667,269,350,1.33333333333333,-81,2019,7,"uniflora"
"19","ID","180098","Clintonia","FLOWER",187,1318,48.65976,-116.7142,8.33333333333333,6.96666666666667,246,334,1.36666666666667,-88,2019,7,"uniflora"
"20","ID","180103","Clintonia","FLOWER",206,1502,48.87259,-116.748,7.76666666666667,6.3,279,416,1.46666666666667,-137,2019,7,"uniflora"
"21","ID","184149","Clintonia","FLOWER",179,983,48.97109,-116.1435,11.1333333333333,9.6,124,173,1.53333333333333,-49,2019,6,"uniflora"
"22","ID","181589","Clintonia","FLOWER",180,1378,48.93678,-116.1049,8.9,7.33333333333333,154,214,1.56666666666667,-60,2019,6,"uniflora"
"23","ID","184075","Clintonia","FLOWER",181,1043,48.86204,-116.0945,10.5,9.03333333333333,155,205,1.46666666666667,-50,2019,6,"uniflora"
"24","ID","180105","Clintonia","FLOWER",196,1583,48.43369,-116.666,7.36666666666667,6.16666666666667,221,247,1.2,-26,2019,7,"uniflora"
"25","WTU","427686","Clintonia","FLOWER",143,591,48.81885,-118.2164,13.0333333333333,11.9333333333333,143,125,1.1,18,2019,5,"uniflora"
"26","SRP","73199","Clintonia","FLOWER",179,983,48.97109,-116.1435,11.1333333333333,9.6,124,173,1.53333333333333,-49,2019,6,"uniflora"
"27","SRP","73200","Clintonia","FLOWER",181,1043,48.86204,-116.0945,10.5,9.03333333333333,155,205,1.46666666666667,-50,2019,6,"uniflora"
"28","SRP","73201","Clintonia","FLOWER",180,1246,48.54068,-116.221,9.23333333333333,7.9,222,282,1.33333333333333,-60,2019,6,"uniflora"
"29","SRP","73202","Clintonia","FLOWER",180,1378,48.93678,-116.1049,8.9,7.33333333333333,154,214,1.56666666666667,-60,2019,6,"uniflora"
"30","WTU","428567","Clintonia","FLOWER",166,1128,48.53614,-119.8823,9.7,8.13333333333333,131,128,1.56666666666667,3,2019,6,"uniflora"
"31","ID","175531","Clintonia","FLOWER",169,1762,44.78275,-115.8686,8.5,6.53333333333333,235,237,1.96666666666667,-2,2018,6,"uniflora"
"32","SRP","66800","Clintonia","FLOWER",192,1903,44.99028,-115.9593,7.1,5.16666666666667,306,296,1.93333333333333,10,2018,7,"uniflora"
"33","SRP","66861","Clintonia","FLOWER",193,1723,44.92263,-115.9323,8.43333333333333,6.46666666666667,245,241,1.96666666666667,4,2018,7,"uniflora"
"34","IDS","2019.005","Clintonia","FLOWER",193,1667,44.92263,-115.9323,8.66666666666667,6.73333333333333,240,236,1.93333333333333,4,2018,7,"uniflora"
"35","WTU","423392","Clintonia","FLOWER",194,1877,44.93219,-118.2869,7.23333333333333,5.96666666666667,206,161,1.26666666666667,45,2018,7,"uniflora"
"36","SRP","71404","Clintonia","FLOWER",164,1877,44.93219,-118.2869,7.23333333333333,5.96666666666667,206,161,1.26666666666667,45,2018,6,"uniflora"
"37","ID","173984","Clintonia","FLOWER",186,1748,44.93396,-115.9165,7.6,6.4,229,248,1.2,-19,2017,7,"uniflora"
"38","ID","174104","Clintonia","FLOWER",141,638,48.29225,-116.5541,13.9666666666667,11.5333333333333,138,174,2.43333333333334,-36,2016,5,"uniflora"
"39","WTU","418523","Clintonia","FLOWER",190,1552,47.94377,-116.0073,9.06666666666667,6.6,229,294,2.46666666666667,-65,2016,7,"uniflora"
"40","SRP","64104","Clintonia","FLOWER",190,1552,47.94377,-116.0073,9.06666666666667,6.6,229,294,2.46666666666667,-65,2016,7,"uniflora"
"41","SRP","64105","Clintonia","FLOWER",191,884,47.68487,-115.8769,12.3333333333333,9.86666666666667,156,194,2.46666666666667,-38,2016,7,"uniflora"
"42","ID","192382","Clintonia","FLOWER",155,854,46.9835,-116.8214,12.7666666666667,10.6,142,158,2.16666666666667,-16,2016,6,"uniflora"
"43","UBC","V96742","Clintonia","FLOWER",163,732,51.9,-120,9.16666666666667,9.6,182,145,-0.433333333333334,37,1962,6,"uniflora"
"44","MONTU","13378","Clintonia","FLOWER",184,1433,46.942161,-112.905883,8.3,8.26666666666667,68,139,0.0333333333333332,-71,1924,7,"uniflora"
"45","MONTU","97534","Clintonia","FLOWER",203,1600,48.2715,-113.3678,6.46666666666667,6.26666666666667,274,263,0.199999999999999,11,1970,7,"uniflora"
"46","MONTU","71176","Clintonia","FLOWER",198,1494,47.885779,-113.560922,7.13333333333333,7.03333333333333,203,309,0.0999999999999988,-106,1972,7,"uniflora"
"47","MONTU","50425","Clintonia","FLOWER",216,1480,47.189933,-113.706202,6.3,8.16666666666667,171,215,-1.86666666666667,-44,1950,8,"uniflora"
"48","MONTU","21442","Clintonia","FLOWER",212,1677,48.825256,-113.732892,4.26666666666667,4.3,414,375,-0.0333333333333332,39,1933,7,"uniflora"
"49","MONTU","130821","Clintonia","FLOWER",168,1098,47.579,-113.7419,10.5333333333333,9.96666666666667,159,150,0.566666666666666,9,1994,6,"uniflora"
"50","MONTU","93628","Clintonia","FLOWER",186,1098,47.6078,-113.7419,9,10.0333333333333,123,152,-1.03333333333333,-29,1982,7,"uniflora"
"51","MONTU","93613","Clintonia","FLOWER",194,976,47.6656,-113.7419,9.36666666666667,10.5,109,139,-1.13333333333333,-30,1982,7,"uniflora"
"52","MONTU","86309","Clintonia","FLOWER",177,976,47.929115,-113.844821,11.4,10.6666666666667,173,167,0.733333333333334,6,1961,6,"uniflora"
